Z70pIK5imvs	[속보효] SVB 구제금융? 예금자보호는 어떻게? #옐런 #속보	NA
dvkcgUQeI8o	[속보효] SVB 사태의 본질 #SVB #미실현손실 #저금리 #VC	NA
5YHnLsqcglk	숫자가 전부가 아닙니다. 아시아 투자를 제대로 이해하는 방법ㅣ미국주식사관학교	NA
Jcurm9KhiU8	소름돋는 이야기... 국제정세로 보는 반도체전쟁과 한국의 운명ㅣ미국주식사관학교	NA
e2UF_L3fZA8	[속보효] 고용은 또 좋았다, 그런데 시장 반응이?? #SVB #실버게이트	NA
HRLhr2iAtK8	결국 청산선언 실버게이트 사태의 내막, 그리고 깊어지는 유동성 우려⎮크립토 핫이슈	NA
N6xVfvfLm0k	이차전지 없어서 속상하신 분, 이렇게 해보세요⎮박제영 한국투자증권 팀장	NA
0Zy39MuOSKI	2분기 강세장이 올 수밖에 없는 이유가 있습니다⎮장의성 미래에셋증권 반포WM 지점장	NA
M34hDcx4mik	[주간브리핑] 주식이 금리를 무시하는 이유	NA
2EOPv9TGh68	3월 투자전략, 이것에 주목하세요ㅣ키움증권 한지영 연구원	NA
AwVumQmz3aE	태세전환 완료한 월가의 큰손들, 자본 모이는 블록체인 시장	NA
Ox7z7h7XdO4	시장이 반등한 결정적인 이유	NA
pAOxxKfOUtU	중국은 서프라이즈, 한국시장은 어떨까	NA
zX6yEx6gHxY	연준의 물가목표는 2%여야 할까?	NA
-Qi99efBqUM	[투자전략] ﻿지금 생각해봐야 하는 리스크, 얼마나 클까?	NA
KF2kaIJtx4A	100배를 번 남자가 제시하는 올해 주식의 키워드⎮빌 애크먼	NA
qBjN-Mh2-pc	[월간아신] 반도체 시장에 특이점이 옵니다. GPT4와 엔비디아가 미칠 영향ㅣIT의 신 이형수	NA
rAX6s4NaD10	신사업에 사활을 걸고 있는 국내 기업들ㅣ미국주식사관학교	NA
nsnuc_vHZ7s	ChatGPT and AI: What are the limits? Understanding the principles can help you invest | American ...	NA
la51ScgoEY0	AI시대를 맞이하는 우리에게 필요한 것ㅣ내일은 투자왕 김단테	NA
oev7mEbZtJI	Honest Thoughts on ChatGPT and Google's Doomsday Theory | Tomorrow's Investment King Kim Dante	NA
EjtmDNmGyas	부활한 캐시우드? "이번 침체는 120년만의 기회입니다"	NA
TkbTuXKYpuc	전략 바꾼 연준, 낙관론을 이용할 수도 있습니다 | 오건영 신한은행 WM본부 팀장	NA
5q142UL4z4Y	STO의 주요 쟁점 5가지, 여기에서 처음 정리해 드립니다⎮이용재 미래에셋증권 매니저	NA
TiEJW1OOBOQ	싱가포르에서 전하는 이번주 투자전략	NA
hwbYCFpTPeo	Super Ant's Thoughts on Today's Market and Investment Methods⎮Humble in the Face of Advancement &...	NA
LDNRWbARR98	[월간정광우] 지금도 좋은데, 이때는 더 좋을 겁니다!⎮정광우 86번가 대표	NA
HSO4Tb_9RAg	되살아나는 빅스텝의 공포	NA
jFuPvBP7SAk	지금 암호화폐 시장은 전쟁중. SEC 제재 사태의 전말과 업계 전망	NA
AZvlvWZgwIM	그동안 쉬쉬하던 문제가 결국 터졌습니다	NA
n3mfHOrI_Ow	붐비는 곳에서는 돈을 벌기 어렵다	NA
aLK3yCnwoSU	[월간정광우] 예상보다 살짝 높은 CPI, 이것에 주목하세요⎮정광우 86번가 대표	NA
eMVkJpEFABA	99%는 모를 수밖에 없는 호재를 소개합니다!	NA
OCrNqWWPbZs	미국 소비자물가 발표를 앞두고 전운이 감돌고 있습니다	NA
YZlCBOpgn5Y	Now, the competition among companies for NFTs will become more intense. ⎮Kim Se-hee, researcher a...	NA
iqHgFcfLpI0	저는 실제로 이렇게 투자하고 있습니다. 참고해 보세요^^⎮김영익 서강대학교 경제대학원 교수	NA
wM5nb9ldvec	진짜 무서운 게 오고 있습니다. 그러나 기회도 있습니다⎮김영익 서강대학교 경제대학원 교수	NA
zsganIO0OZg	시장의 생각은 이제 완전히 바뀌었습니다⎮골드만삭스	NA
FukCk0piYm4	50년 우상향 시대의 끝, 고난의 시대가 온다⎮하워드 막스 블룸버그 인터뷰(번역, 해설)	NA
UlJbTUuuaLc	The AI ​​war is a complete defeat for Google.	NA
fQZPtwdh9d8	탁구형이 전하는 2023년 투자전략⎮유진자산운용 김탁 이사	NA
4ut6Cm0iV2s	금리인상 지속 가능성을 시사한 파월 의장	NA
1jQfyHIenGY	미국주식, 기술주 투자 꿀팁 공개합니다⎮미국주식사관학교	NA
3BA76TDWgIg	차갑게 바뀐 시장 뒤엔 이것이 있습니다	NA
ZHtscdkQNPQ	10 Things You Missed About the Financial Markets This Year	NA
SrjY7X2VLDA	금융권 초미의 관심사 STO, 이것보다 자세한 영상은 없습니다⎮미래에셋증권 이용재 매니저	NA
HbLr_0fPQLw	US employment surprises, but what's the market's reaction?	NA
NxW0xNisfVg	AI 연구원이 볼 때 ChatGPT의 진짜 소름돋는 능력은 이겁니다⎮with 미국주식사관학교	NA
i1DlACvPHEI	Big Tech Earnings in Chaos Amid Nasdaq Surge	NA
rmPB7bdTAFA	Ripple The fight for the fate of cryptocurrencies is underway⎮Crypto Hot Issue	NA
77U_Tyi70JY	고마워~ 연준아 | 파월의 입에서 이런 말이 나왔습니다. #디스인플레이션	NA
aVnnX1E_x_M	IMF 정말 왜그래! 경제성장률 상향 전망에 한국만 빠졌습니다	NA
jncnq9LnwAU	2월 FOMC 앞두고 이것이 급증하고 있습니다	NA
7NHZVv4Shd4	FOMC 회의, 마지막 금리 인상 될까?	NA
s73oNwbL2_Q	코스피 다시 3,000간다? 연초 강세장의 허와 실⎮빈센트 업라이즈 이코노미스트 [FOMC 프리뷰]	NA
8lEM8JqHsrg	금리인상은 2월에 안 끝납니다. 기준금리 5%를 보게 될 지 확인해야 합니다⎮빈센트 업라이즈 이코노미스트 [FOMC 프리뷰]	NA
e_A_l5UJLI8	Tesla's Stock Surge: Betting on Potential Again	NA
Jby3xgzOGmQ	애매한 테슬라 실적 이렇게 이해하면 됩니다	NA
Z7uDMMHT32I	비트코인 상승 이유와 전망을 전해드립니다. [크립토 핫이슈]	NA
4owsMtEh3iA	명절 동안 주식이 급등한 이유	NA
B25sDFTIgiU	[월간 정광우] 저도 완전 동의했습니다. 시장 상승 논리 2가지⎮정광우 86번가 대표	NA
Kmqoytumzoc	100년 동안 투자의 성패를 결정한 2가지 법칙 [유료광고포함]	NA
ZNaW6h0Jg0s	[월간 정광우] 사실 제 전문분야는 이쪽입니다!⎮정광우 86번가 대표	NA
6DkxATZ6a58	[월간 정광우] 올해 시장은 좋을 겁니다. 하지만, 좁은 길이긴 합니다⎮정광우 86번가 대표	NA
TP7U9qjBgRs	Will the war end this year? Experts tell us! | Translation and commentary of Mearsheimer's renown...	NA
EhKZx30S0Ig	STO가 뭔지 설명해 볼게요	NA
ZdITm-Bn8k0	This time it's not because of Bullard	NA
NPT5j-F3ieo	진실의 순간을 외면한 BOJ, 하지만 아직 끝나지 않았다!	NA
zEB7rF8qTn8	지금 월가의 생각은 이렇게 바뀌었습니다	NA
X7_PTbyQ3RQ	시장을 이끄는 금리인상 종료 기대의 실체	NA
trTQhBlmCls	이제 국제갈등에 먼저 대응하는 것이 중요합니다⎮블랙락이 전하는 2023 지정학 리스크	NA
moauC_PiMlE	Expected level of inflation, but this point needs to be addressed.	NA
2jQqTE-Q5Q4	인플레이션 발표되는 날, 슈퍼에 달걀이 떨어졌다는 소식	NA
ENTRukeEtJw	시장은 이제 파월의 말은 거르는 눈치입니다	NA
VtWc5BGWZPo	이 흐름을 만든 것은 8할이 약달러입니다	NA
Kjh-qI-aLeM	This year, there's an opportunity here⎮Financial Times 10 Economic Outlooks	NA
WML5Nucj4q8	Wow... We've gathered experts recognized by experts⎮ Writer Lee Hyeong-su [YouTube IT God]	NA
sTMxiC8BTrc	불라드 형 입에서 이런 말이?	NA
3og_BTVsKoM	금리 몇퍼센트까지 올린다고...??	NA
_dw9m7msBxw	애플·테슬라 쇼크... 고통스러운 첫출발입니다	NA
TsmtC5cLSII	올해는 이 산업이 뜰 수 있습니다 - #박장욱 #피팅 #산업재	NA
RKQxyDcv498	2023년 새해에는 어떻게 투자할까? #연준 #금리 #일본	NA
bHSQ6fISU9A	2022년 마지막 날, 2023년에는 웃을 수 있을까? #미국주식 #연준 #BOJ #금	NA
2o2UGuZFBQs	Which assets will deliver the best returns in 2023?	NA
78jpzwd7Rzo	내년 미국 경제에 대한 10가지 질문(feat. BofA) #테슬라 #경기침체 #천연가스	NA
pG1jmSn2-cg	Wall Street's 2023 Scenario: What Should We Invest In? [This Week's Investment News Roundup]	NA
fVWTBZYv6tE	아파트 이 공식 알면 절대 물리지 않습니다(부동산 적정가격 공식)⎮채상욱 작가	NA
JLCJbvJU7b0	채권투자 열풍 이대로 괜찮을까?	NA
tFflvVjHVY8	산타랠리 가능성 남아있을까?	NA
XwR-MgfxKUA	일본의 항복선언, 저는 이렇게 봅니다⎮정광우 86번가 대표	NA
S1SeuARnYc4	경기침체 온다는데 괜찮냐구요? 저는 이렇게 대답합니다⎮정광우 86번가 대표	NA
UZ6VZuu15cc	결국 일본 항복선언, 그 내막은 이렇습니다	NA
dt6-x5dC1Rw	S&P500 3,000까지 빠진다고...??	NA
bfLbU9Z45nU	금리인상 정말 다 죽어야 그만둘까요?	NA
ytXm-Q7YVCw	블랙락이 던져준 묵직한 조언	NA
F1o-31KPbWQ	선물옵션, 안 하더라도 알아두면 주식투자에 유용합니다(주린이를 위한 주식공부)⎮강승희 테이바랩스 대표	NA
Frxd2Cwqyqg	아시아에서 가장 위험한 나라?? IMF가 한국에 직접 경고했습니다	NA
slnsATXbQTs	[FOMC 리뷰] 점도표는 올랐지만, 파월은 물가를 잡을 수 있다는 자신감을 표현!	NA
nYGAOx9Aqoc	The FTX Debacle: Lessons from the Market: A Prerequisite for Restoring Trust - DeFi Farmer Cho Do...	NA
u7QFf7jkxiE	물가상승률 떨어져서 좋았지만, 좀 아쉽습니다	NA
g-1zB_6rkjE	펀드매니저vs애널리스트, 누구 의견이 맞을까?	NA
7RlhzBVoaGc	[FOMC 프리뷰] 연말 산타랠리의 분수령이 될 중요한 일주일입니다	NA
C37jlfAaENQ	월가 대표 비관론자, 모건스탠리는 왜 이렇게 비관적일까?	NA
f5se-vf7ue8	Is it okay for Americans to continue to use their credit cards so rapidly?	NA
VlyH5jB71JU	걸어잠그는 부동산펀드, 무슨일이지??	NA
UOSmIGQTBNY	12월 13일, 올해의 마지막 FOMC는 이렇게 대비하세요	NA
_EswOAJaQJg	추세반전은 아직 시간이 필요합니다. 이 때까지만 기다리세요!⎮이경민 대신증권 투자전략팀장	NA
ECjYpltvQiQ	상상하지 못한 일, 지금부터 2배 상승해도 이상하지 않을 이 것 | C.S 졸탄	NA
duiEi6fn1rs	[특집] 경기침체를 주장하는 대가 4인방 (2부) | 제레미그랜섬, 레이시헌트	NA
iiY-YIh2V7Y	[특집] 경기침체를 주장하는 대가 4인방 (1부) | 캐시우드, 폴튜더존스	NA
U2Q3VoEINwI	파월은 피봇한다는데, 벌써 베어마켓랠리 끝?? (feat. BofA)	NA
LoyVZcK4G6s	정치 리스크는 덜 봐도 됩니다⎮오종태 타이거자산운용 이사	NA
ihaih7m8LpA	이번 위기의 이름은 '화이트칼라 위기' 입니다⎮오종태 타이거자산운용 이사	NA
oDIg2WbFHqA	미국 현지에서만 알 수 있는 FTX 사태의 본질 | 크립토퀀트 주기영대표	NA
6uMY7UamkRs	테슬라도 산타랠리 끼워 주나요?	NA
lBIOggu4Itk	나는솔로 역대급 영수님을 직접 만나 봤습니다⎮바클레이스 출신 최준배님 인터뷰	NA
LTnwiDfo6hc	파월 발언 한마디에 시장이 환호한 이유 | 파월 의장 연설 완전 해부	NA
5ux78ZqBu0E	현재진행형 FTX 사태, 아직 뇌관 안 터졌습니다⎮이미선 빗썸 경제연구소 센터장	NA
NauGpn18MIc	연설 앞둔 파월⋯ '잭슨홀 충격 기억나니??'	NA
z78q4oGNzGU	하락은 계속됩니다, 그래도 저는 이걸 샀습니다 | 칼 아이칸	NA
wi7GCg3wo4w	The bud of hope cut off by Vlad	NA
N5UChE9CMtM	A recession hasn't even started, and a bear market never ends⎮TS Lombard	NA
l5kJ-lE7vGM	미국 인플레이션 감축법, 한국 기업에게도 기회인 이유⎮은기환 한화자산운용 펀드매니저	NA
Je9bphqF5hg	더이상 외면하기 어려운 이상기후의 불편한 진실⎮은기환 한화자산운용 펀드매니저	NA
yJJqjSeSrX0	증시 어디까지 갈까? 저는 이걸 보고 판단합니다⎮정광우 86번가 대표	NA
MSvSPlTvbB8	심상치 않은 연준의 분열, 그 속사정과 내년 전망⎮⭑빛광우(정광우) 86번가 대표⭑	NA
Bq73XAkV8Zo	A professor at one of the world's top business schools criticizes Bullard's 7% remarks (Wharton S...	NA
IpGfvDPIPT8	Concerns spread over the FTX incident. How far will the repercussions extend?	NA
c9-3Nmcjvj4	Why Goldman Sachs Recommends Buying the Korean Market | The Fed Pivot Controversy	NA
lnjqy7Sgbxw	The key to next year's market will be China, not the US. Lee Seon-yeop, Head of Department at Shi...	NA
MaSvRN6EfHg	Positive change has begun! Don't miss this! ⎮Lee Seon-yeop, Head of Department, Shinhan Investmen...	NA
6Lq8Vd4eYnM	Why the 10,000% Annual Return Investment Legend Sees This Rebound as "Real" ⎮ Larry Williams	NA
K2kM21rkBR0	블라드 형~ 7%라니!!! 왜 그래? 우리 다 죽어~ | 자세히 보면, 다른 게 보입니다.	NA
HUt08gHkSVM	상승장 하락장 맞히느라 피곤하시죠? 주식투자 초보분들을 위해 준비했습니다⎮김태홍 그로쓰힐자산운용 대표	NA
D90e3bWnhW4	Is austerity finally over? The Fed, responding to growing expectations of a pivot, says, "Wake up."	NA
ivZa7ZJybC8	이벤트 결과 공지 / 금리 인상 1월 종료? 내년은 좀더 밝아질까	NA
y1HwSXSGmk4	The eccentricities of a bond king with 400 trillion won in assets under management? Stocks are ex...	NA
B5FZZsWZfcU	What impact will the subtly changing atmosphere have on the financial market?	NA
zSbyXRBtYug	FTX 결국 파산신청, 가상화폐 악재 금융시장 영향 미칠까	NA
EmKvToSNx3Q	The investment legend's big call: "5,000x return": He bought this stock, the biggest opportunity ...	NA
P7BCYsv2qFo	10월 CPI 발표, 기념비적인 대반전	NA
JR-Fh-NwpAI	천재 경제학자 "경제 살리려면 금리 6%는 가야 한다!" (래리 서머스 하버드대 교수, 미국 전 재무장관)	NA
t0mDLrew1jw	Inflation remains high, and a 6% base rate is possible.	NA
RIB1XlZX2po	Do you want to pay taxes in an unfair stock market? Consider your priorities. Lee Dae-ho, CEO of ...	NA
dAfQWIbnceM	제2의 루나사태?? 난리난 코인시장 간밤에 무슨일이	NA
40omGOvIICI	美중간선거 이후, 주가는 반등할 것입니다 | 켄 피셔	NA
YpiAaDtU1cI	중간선거 앞두고 주가 상승, 테슬라만 빼고...	NA
E7lr4PO5HWY	저는 '이때' 바이콜(Buy Call)을 하겠습니다. 아직은 아닙니다.	NA
cKYvmN8dVtc	투자자 99%는 모른다고 장담합니다(저도 정확히 몰랐습니다). 그런데 시장 읽으려면 정말 중요합니다⎮김준영 흥국증권 이코노미스트	NA
s6Z8950x36o	전 세계 1등 해운사 머스크(Maersk)의 경고 #물가 #연준 #금리	NA
shnA7F5ch0g	The weak link here? China's worst-performing real estate bonds continue to slump.	NA
wHJS5tXok-w	FOMC, 천천히 더 많이 올린다고??	NA
Yp3alWhbm04	Value investors who say value investing is over	NA
5ngD-r0gPQM	중국을 못 믿는 이유는 이것 때문입니다	NA
e_oOUp1ZG4I	[FOMC 프리뷰] 깊어지는 파월의 고민 #WSJ #변심 #바이백	NA
-5TismjmDpA	지금 주식을 사야 되는 이유 (feat. 86번가)	NA
KOruwAAyO30	애플을 제외한, 빅테크들이 추락하고 있습니다!	NA
Tg1ydp9nekQ	인플레 잡으려다 시장을 망가트린다면? 당신의 선택은??	NA
HNX3lOHBxDI	달러 인덱스 급락은 중요한 의미가 있습니다!	NA
L_WhgH0gLl0	주식 왜 오르지? 지금부터는 이걸 보셔야 합니다	NA
-YNdoim30Xo	이 것만 알아도 투자의 90%는 성공합니다 | 하워드막스	NA
cfjF724WAQ8	210년 만에 영국과 인도의 역사가 새롭게 쓰입니다	NA
iwg-4Qp2jM8	'매우 엄중' 레고랜드 쇼크에 정부 개입, 주가 반등할까	NA
ke0P-MD93K8	영국위기 끝? 그래도 생존투자만이 살길입니다(영국위기&시장이야기)	NA
rN6kdaGBw5c	닥터둠 루비니의 경고... "결국 인플레 못 잡고 다시 돌아갈 것"	NA
uhOT5mN9cHo	It's time to think more deeply about Tesla | Automotive Misaeng	NA
QIqd6qptUAM	예상치 밑돈 실적에 시간외 급락... 테슬라는 킹달러가 밉다	NA
rem3cdextrA	미국 경기침체 맞나? 넷플릭스, 은행주 서프라이즈	NA
lWya6vkqZl0	이런 투자는 '절대' 하지 마세요	NA
ri0La-x-yZM	Britain's risks have been 90% eliminated, but the Truss government faces the threat of resignation.	NA
eW5kzqBQ44w	주가의 진바닥을 확인하는 가장 좋은 방법	NA
0ppYgqF_N8A	블랙락, "주식하기 좋은 시절 끝났다"	NA
rRyGOEebAas	'승자는 세계를 얻는다' 본격화된 미중 반도체 전쟁ㅣ김영우 SK증권 리서치 센터장	NA
gex5VRkNl1c	If you're on the happiness circuit, beware: Uprise Vincent's economic seminar.	NA
h3nVNh1zXdE	최선을 희망하되 최악에 대비할 때ㅣ'업라이즈 빈센트'의 경제 세미나	NA
i3GbFZrs1-I	최악의 물가에도 역대급 급반등, 이유는?	NA
83H0qRt8HBE	놓치고 있을 수도 있는 무서운 이야기	NA
zvs884utjvc	A worse decline in US home prices than during the financial crisis	NA
B7OaGYex-Fg	일본이 금리방어를 포기할 수도 있는 이유 세 가지	NA
Q9qqYj_6xWs	금융강국 영국은 어쩌다 몰락했나(영국 경제위기 해부)	NA
ocUfNTEy0xA	Would a roboticist want to join Tesla AI Day? (feat. Yusanam Yoo)	NA
n0nVuhOXcA8	아주 작은 현금도 중요할 때입니다 [유료광고포함]	NA
2nrdID8-5Vw	이자도 못 내는 좀비기업, 왜 자꾸 살아남을까?	NA
MpX4uxrwcXE	Hedge funds drooling: Is Italy the next target?	NA
Op_sKw3SaL0	시장 방향 결정하는 것은 따로 있습니다	NA
A0yGQVDGLWQ	소름돋는 테슬라의 큰그림(AI데이 리뷰)ㅣ내일은투자왕 김단테	NA
y2V9-2oiOxU	오늘 시장 분위기가 급반전된 이유	NA
etn62LhYo24	위기에 대비하려면, 어느 쪽이 강할지 생각해야 합니다(막는 자 vs 뚫으려는 자)	NA
iIo7M5ee_IU	If you're worried about cutting your losses, be sure to check this out. Everything you need to kn...	NA
F0QhykII6JA	인플레보다 "이것"을 걱정해야 된다	NA
ZK1CwTalX7g	Bank of England intervenes in a surprise move; the won is 59% undervalued.	NA
9Mx7FUrUJuU	"Are you kidding me?" IMF warns UK.	NA
BzqrURrEUNY	[9/27일 LIVE Q&A] 지금 가장 위험한 곳은 어디인가요?	NA
WpdONu_zqVE	역대급 위기에 대응하는 방법	NA
K2JI1L5U3SE	Real Estate Price Adjustments from a Macro Perspective	NA
7zeh5ZhVlx8	24년 만에 칼 빼든 일본, 플라자합의 시즌2 나올까	NA
5InrwF11j6s	The 'next virus' is sure to come.ㅣSeoul National University College of Medicine Professor Bae San...	NA
gIyv1CYdwM0	Is this how much the mortgage payment in the US was?	NA
SqaD4-Kiixo	A New Investment Strategy for the New Cold War | Director Jongtae Oh & Professor Sangsoo Bae	NA
B6rC1VNtju8	시장이 어려운 이유를 설명하는 방법을 찾았습니다	NA
-TgO0ydO-lw	There won't be a smile on Powell's face at the September FOMC meeting.	NA
n41piK9kupI	미국은 양적긴축의 딜레마에 빠졌습니다⎮안근모 글로벌모니터 대표	NA
C2p84xqof1I	Looking at the August prices, my thoughts changed like this. ⎮ Ahn Geun-mo, CEO of Global Monitor	NA
X5Jmg3KrlJw	천정부지 환율, 정말 달러를 막을 수가 없을까요	NA
05Lr3V0xgAk	Elon Musk Takes a Shot at the Fed	NA
lrrQLozVWlo	물가지표가 뒤통수를 쳤고, 시장은 패닉에 빠졌습니다	NA
35X6r5vP_TQ	[총정리] 추석연휴 금융시장 정리	NA
zQqGvanK1kw	이차전지 투자, 관점의 변화가 필요합니다.	NA
NvSS-XO_WV8	추석연휴 직후에 있을 빅이벤트	NA
oMn_OzGfVK4	애플 신제품 발표, 그리고 어제 있었던 시장의 변화들	NA
Eo7GAjP0xoQ	스트롱 달러, 아무도 막을 수 없다	NA
_H-bghnJkP8	[Special Feature] A Complete Look at Russia's Energy Weaponization	NA
VUzhK2dBgng	주요국 금리인상 예정, 유럽은 버틸 수 있을까?	NA
FC-7z-xCWsw	한국 산업계가 직면한 기후 리스크	NA
LL3v1CB_OGI	이유를 진짜 찾기 어려웠는데, 결국은 이거였습니다	NA
IcleBQbLNJ0	[5분 요약] 시장 급락 코멘트 #환율 #수출입	NA
4DuJQIhUorw	Summer Rally Half Returned, What Should I Do Now?	NA
5PN11NKNSug	주가가 빠져서 행복하다고? 이건 아니죠!	NA
hWUlnphANGA	악재가 계속되었지만 작은 희망을 찾았습니다	NA
WFmKfYEKA4Q	글로벌IB들은 이걸 준비하고 있습니다	NA
z8NU7hHeT_E	견뎌라, 더 힘들겠지만	NA
BSTVF2VRh2A	비트코인 투자하려면 이 지표부터 봐야합니다(ft. 크립토퀀트 주기영 대표)	NA
iK7B5YIlRl8	[Urgent] The Real Reason the Stock Market Was Shocked: Powell's Serious Face	NA
TVtSrtct3Mk	잭슨홀 이브, 연준의 복수일까? 달러의 약세 반전일까?	NA
UT8P51hK6Ew	2분기 출산율이 몇이라구요...? 충격이네요	NA
oOkLQ-clJiI	잭슨홀 미팅을 앞두고, 헤지펀드는 이것에 대규모 베팅을 했습니다	NA
QXh3I5TqMGg	The euro's value has fallen to its lowest in 20 years. This is how it ended up.	NA
pHyRfAVIgD8	썸머랠리 벌써 끝나나?	NA
BGCyqZcJi38	[긴급] 현지에서 전하는 유럽 상황 : 물가가 몇%라고? (feat. 정승우)	NA
c7LWO_ACVGc	제 생각은 변하지 않았습니다 | 두물머리 빈센트	NA
B0fqEjaAOpg	주식시장 방향 결정되기 전에 이 영상 보세요	NA
Ck4nZqasro8	주식시장 방향 결정 임박, 당신의 선택은?	NA
UvxacqUlkC8	주가 떨어진 게 과연 의사록 때문일까?	NA
JWJpgK2EIKE	유가하락 천연가스 상승, 그럼 이 종목??	NA
gNaziWjPBlk	제 생각은 이렇습니다!	NA
wJCW_1vmd8s	경제침체보다 심한 위기? 과연 파월이 막을 수 있을까?	NA
XwjPuR7MpSw	약세장 탈출을 결정할 세가지 변수	NA
d4GjS3fJROs	아직은 안심하기 어려운 이유- 남아 있는 리스크	NA
uiQL53YrYHE	미국 물가, 제일 큰 산 넘었으니 이제 가즈아…?	NA
nR1dfxxeGUU	만약 제 전망이 틀린다면...?ㅣ신한금융투자 이선엽 부장 2부	NA
tZomEM3rra0	What will happen to Samsung Electronics and SK Hynix under China's semiconductor law?	NA
2jQ4nUxeBtI	The leader has already been decided | Shinhan Financial Investment Vice President Lee Seon-yeop, ...	NA
IkuIz_Y5cGI	역대급 폭우날 발표된 기후위기 대응 법안	NA
-TQzuAJixy8	미국 경기침체는 신흥국이 대신 당해준다	NA
9uXvo3pbCBc	지금 경제 환경은 닷컴버블 시기와 비슷합니다.	NA
0pyVh9HxEkQ	China's attempts to dominate Taiwan have already begun | Reuters in-depth report	NA
Wd7lUy3Rldg	지금 경제상황에 대한 솔직한 생각ㅣ홍춘욱 박사	NA
Jxlyk9OXwKI	왜 자꾸 주식이 오르는 건데!!?	NA
kgUiAIJZrfc	스탠포드 박사가 생각하는 테슬라의 미래	NA
yxp9kfydX_c	A new war without gunfire begins	NA
67DT5EG1RPE	돈 빌려서 주식 사는 애플 | 펠로시 대만 방문으로 미중 충돌하나?	NA
dvdJ-ErHzoE	Summer Rally: Why You Should Participate and Why You Should Stop	NA
8Gjz3vUUTuQ	[팩트체크] 러시아, 곧 끝난다(feat. 예일대학교)	NA
1DCgaOqu9PM	Apple and Amazon Earnings Announcements: Big Tech's Stunning Return	NA
lbXF4O_J7fE	[종목분석] LG화학 투자가 고민이라면 이 영상 먼저 보세요	NA
nANjuZVk9p4	[FOMC 특집] 금리 인상에도 주가 급등한 세 가지 이유ㅣ유사남 출연	NA
QwO03noIEj0	A Summary of Second-Quarter U.S. Stock Performance So Far | Bavarian Research Director Hee-Seok J...	NA
_2x2i-ZDK_I	[빼박] 파월도 부인 못할 경기침체의 명백한 증거	NA
h8kNPcp1ynE	Don't Do This to Be Happy | Hong Jin-chae, CEO of Raccoon Asset Management	NA
rsssmvdo6YE	[충격] 미국 부자들은 대출을 더 받고 있다고?	NA
Xox6CXss0Gw	FOMC부터 빅테크 실적까지 | 이번주 핫이슈 총정리	NA
UQVdVHy4Wp0	우리가 부자가 되지 못한 이유 | 홍진채 라쿤자산운용 대표	NA
g-Zd7WyffDo	테슬라 실적을 보고 든 생각	NA
Vu4XcyHEQPA	[종목분석] 역대 최고 실적 현대차, 왜 주식은 그대로지??	NA
s7OLZM0xJbY	약세장 끝났나? 월가 전설, "투자 고민하기 좋을 때"	NA
E2RFjJWffq4	쏠림에 대한 되돌림 #BoA #이더리움	NA
mlMKqaB43jY	애플도 채용을 멈춘다고? 중국부동산 위기	NA
6q-eqHfYM5Y	바이든 면전에서 비웃은 사우디 왕세자, 그리고 시장을 위협하는 또다른 이슈	NA
bRiHllQgeJY	대한민국, 코로나 때만큼 위험해졌다고? 괜찮나요?? #원달러 #위기 #CDS	NA
xpkVIKfn-K0	실적 먹구름 금융주, JP모건 순이익 -28%감소	NA
0o6cXVItiuY	Why the market rebounded after the worst price crash	NA
pP_5mGhY7DY	한국은행의 역대급 초강수	NA
USwehlY2vpM	환율 시장이 주는 엄중한 경고	NA
eNDiOWEQoS4	투자자에게 이번주가 정말 중요한 3가지 이유	NA
Fh6bEcXCmbA	뉴욕증시 4일연속 반등, 왜 올랐을까?	NA
XCktTKqyUGY	최근 환율시장에서 나타난 중요한 변화	NA
g1bhQF777aY	시장의 색깔이 바뀌었습니다	NA
hjhHugUYbvo	이번에도 안 망할 수 있을까? 엔화의 운명은	NA
kZJPsRLoq7w	못해먹겠다는 아르헨티나, 글로벌 위기의 서막일까	NA
xHl_hd2iJxU	한국이 과연 안전할까요? 팩트로만 말씀드립니다	NA
yuEoYLethV8	정치로 시장을 읽는 방법⎮오종태 타이거자산운용 이사 2부	NA
C4Gov5sAiy0	정말 안 좋기만 할까?⎮주간총정리	NA
cIeRtsH8T9o	The Real Reason Putin Waged War - Part 1 - Oh Jong-tae, Director, Tiger Asset Management	NA
gAVBIb6awyk	상반기 너무 힘들었습니다. 그런데 더 최악의 시나리오는요...	NA
pet2GMGINx8	입사 2주 신입도 예외 없음. 테슬라 대규모 해고 폭풍	NA
_CVjVovl_Os	The National Pension Service, with 900 trillion won under management, will suffer losses this yea...	NA
sbXlVzTRj04	돈나무언니 패배인정... "미국은 경기침체에 빠져 있다"	NA
8RYeZb0yLw0	월가 전설, "지금은 자산 긁어모을 때"	NA
Q88w78vnrDA	Can the KOSPI escape its disgrace as the world's worst?	NA
J1K-D80sFqs	뉴욕증시 급반등, 스마트머니 출동? 주간 총정리	NA
IetOX2l2ybg	New York Stock Exchange Rise, Is It a Temporary Rebound?	NA
d_8jDZsiaAU	Why is only KOSPI missing?	NA
MpUg8zRmH_M	나스닥 반등속 중요한걸 찾았습니다	NA
yfkV15ZQlP8	그동안 감사했습니다. 그리고... #이효석아카데미_스터디모임	NA
kou3vda8pAY	복잡한 국제정세, 우리는 이렇게 투자해야 합니다⎮신한금융투자 이선엽 부장	NA
